elev_threshold,elev_unit,pct_total_above_threshold,pct_land_above_threshold
-3000,ft,37.06771027248,100
-2800,ft,36.9201099569574,100
-2600,ft,36.7628547215382,100
-2400,ft,36.610320038696,100
-2200,ft,36.450985629249,100
-2000,ft,36.2752736985276,100
-1800,ft,36.063746399563,100
-1600,ft,35.8126949348807,100
-1400,ft,35.532076632037,100
-1200,ft,35.2321973807912,99.9933979250235
-1000,ft,34.9125565172787,99.9864778238317
-800,ft,34.5406553041825,99.9790887129201
-600,ft,34.1076348053877,99.9688641682056
-400,ft,33.3880060602893,99.9537736100186
-200,ft,31.8461521667117,99.8867087803842
0,ft,29.1318253894025,99.441801163941
200,ft,26.2532567533711,89.8675403933028
400,ft,23.7682002831662,81.3611659630888
600,ft,21.4526289370229,73.4276142383829
800,ft,19.5527660689223,66.9189423621391
1000,ft,17.7264984869089,60.6617316717567
1200,ft,16.0423391875317,54.8917540319768
1400,ft,14.5068779006533,49.6315140407555
1600,ft,13.2187692533686,45.2188065470319
1800,ft,12.1864676849708,41.6830587978085
2000,ft,11.3175260589093,38.7073918818661
2200,ft,10.5850675282431,36.1993629737929
2400,ft,9.95223409499658,34.0327995290548
2600,ft,9.40062657941552,32.1448192984009
2800,ft,8.89997118912564,30.4327648513595
3000,ft,8.42430037827307,28.8057752142152
3200,ft,7.94837460811297,27.1771605041005
3400,ft,7.48249333302257,25.5824499233799
3600,ft,7.02060546406467,24.0013796369734
3800,ft,6.5679321891044,22.4517148433043
4000,ft,6.1640354755027,21.0692444836057
4200,ft,5.81405711333405,19.8724900987765
4400,ft,5.49779318492971,18.7915388201525
4600,ft,5.21253287458718,17.8163878095422
4800,ft,4.95956098989936,16.9518350373812
5000,ft,4.73156454031206,16.1732900805033
5200,ft,4.52427812885913,15.466047740754
5400,ft,4.33456755074358,14.8188258058441
5600,ft,4.15978765851629,14.2227378867956
5800,ft,3.99783148356374,13.6704863005858
6000,ft,3.84570954186121,13.1518351124429
6200,ft,3.70082002585211,12.6577290270531
6400,ft,3.56418977186213,12.1928963885812
6600,ft,3.43141300598571,11.740271262732
6800,ft,3.30350725688833,11.3042875304645
7000,ft,3.17984698195795,10.8827790087347
7200,ft,3.06155406689475,10.4794130323098
7400,ft,2.94859803497203,10.09413027388
7600,ft,2.83757023397257,9.71530284418667
7800,ft,2.72517627357714,9.33150604975974
8000,ft,2.61390655808314,8.95139065176688
8200,ft,2.50142366388884,8.56695973756679
8400,ft,2.38848500038773,8.18087632738999
8600,ft,2.27528986067642,7.79380653696723
8800,ft,2.16077768605175,7.40212335615423
9000,ft,2.03958506977047,6.98744042531056
9200,ft,1.90728715569673,6.53463457888431
9400,ft,1.76014701306691,6.03085458425248
9600,ft,1.63884731605648,5.61558023926762
9800,ft,1.5253076237516,5.22685005934973
10000,ft,1.3957264150551,4.78308220884294
10200,ft,1.26773119260552,4.34470618014243
10400,ft,1.16630002458769,3.99734080337858
10600,ft,1.08431952239484,3.71656913959955
10800,ft,1.01585854667518,3.48208811857598
11000,ft,0.954088914377332,3.27049130949436
11200,ft,0.895724962853348,3.07052805763555
11400,ft,0.837516610970887,2.87107544149601
11600,ft,0.78182093541133,2.68020816802479
11800,ft,0.734141435543128,2.51680211225993
12000,ft,0.687536418949975,2.35706607763163
12200,ft,0.639804897267514,2.19345387630971
12400,ft,0.598611644715938,2.05224510032774
12600,ft,0.566673835196038,1.94276257038822
12800,ft,0.539272238891462,1.84882925252648
13000,ft,0.514317540752832,1.76328104323047
13200,ft,0.491655902909557,1.68559272579197
13400,ft,0.471143704586465,1.61527010830497
13600,ft,0.453039326601687,1.55320265598936
