elev_threshold,elev_unit,n_total,n_total_above_threshold,pct_total_above_threshold,n_land,n_land_above_threshold,pct_land_above_threshold
4800,m,3732480000,6442976,0.17261917009602196,1271851649,6442962,0.5065812514427931
4900,m,3732480000,5271942,0.141245016718107,1271851649,5271931,0.41450832761392287
5000,m,3732480000,4059683,0.10876636981310013,1271851649,4059676,0.31919414525993983
5100,m,3732480000,3013011,0.08072410300925927,1271851649,3013008,0.2368993272422136
5200,m,3732480000,2172216,0.058197659465020576,1271851649,2172215,0.17079153859712454
5300,m,3732480000,1542717,0.04133222415123457,1271851649,1542717,0.1212969296547258
5400,m,3732480000,1080745,0.028955145104595337,1271851649,1080745,0.08497413993603274
5500,m,3732480000,749536,0.020081447187928668,1271851649,749536,0.058932659370243896
5600,m,3732480000,513677,0.013762351037379973,1271851649,513677,0.04038812234146028
5700,m,3732480000,344501,0.00922981502914952,1271851649,344501,0.027086571006207028
5800,m,3732480000,223919,0.005999201603223594,1271851649,223919,0.01760574829431227
5900,m,3732480000,141900,0.00380176183127572,1271851649,141900,0.01115696159308907
6000,m,3732480000,88594,0.002373596107681756,1271851649,88594,0.006965749509359641
6100,m,3732480000,55202,0.001478963048696845,1271851649,55202,0.0043402860737258835
6200,m,3732480000,34569,0.0009261670524691358,1271851649,34569,0.0027180056752043416
6300,m,3732480000,21911,0.0005870359653635116,1271851649,21911,0.0017227638158292785
6400,m,3732480000,14283,0.00038266782407407406,1271851649,14283,0.0011230083328688596
6500,m,3732480000,9731,0.0002607113768861454,1271851649,9731,0.0007651049560419291
6600,m,3732480000,6975,0.0001868730709876543,1271851649,6975,0.00054841301699645
6700,m,3732480000,5078,0.00013604895404663924,1271851649,5078,0.0003992604014778456
6800,m,3732480000,3791,0.00010156785836762688,1271851649,3791,0.0002980693544707587
6900,m,3732480000,2856,7.651748971193416e-05,1271851649,2856,0.0002245544912604819
7000,m,3732480000,2107,5.645040294924554e-05,1271851649,2107,0.00016566397517011044
7100,m,3732480000,1540,4.125943072702332e-05,1271851649,1540,0.00012108330411104416
7200,m,3732480000,1097,2.939064643347051e-05,1271851649,1097,8.625219779858146e-05
7300,m,3732480000,776,2.0790466392318245e-05,1271851649,776,6.101340518842226e-05
7400,m,3732480000,568,1.5217764060356652e-05,1271851649,568,4.465929658121629e-05
7500,m,3732480000,389,1.0422025034293553e-05,1271851649,389,3.0585328116361154e-05
7600,m,3732480000,259,6.939086076817558e-06,1271851649,259,2.0364010236857427e-05
7700,m,3732480000,177,4.742155349794239e-06,1271851649,177,1.3916717420555075e-05
7800,m,3732480000,115,3.0810613854595336e-06,1271851649,115,9.041935047253298e-06
7900,m,3732480000,76,2.0361796982167353e-06,1271851649,76,5.9755396834021796e-06
8000,m,3732480000,48,1.286008230452675e-06,1271851649,48,3.7740250632013767e-06
8100,m,3732480000,35,9.377143347050755e-07,1271851649,35,2.751893275251004e-06
8200,m,3732480000,19,5.090449245541838e-07,1271851649,19,1.4938849208505449e-06
8300,m,3732480000,8,2.1433470507544582e-07,1271851649,8,6.290041772002294e-07
8400,m,3732480000,5,1.3395919067215364e-07,1271851649,5,3.931276107501434e-07
8500,m,3732480000,2,5.3583676268861454e-08,1271851649,2,1.5725104430005736e-07
8600,m,3732480000,0,0.0,1271851649,0,0.0
8700,m,3732480000,0,0.0,1271851649,0,0.0
8800,m,3732480000,0,0.0,1271851649,0,0.0
8900,m,3732480000,0,0.0,1271851649,0,0.0
-36000,ft,3732480000,3732480000,100.0,1271851649,1271851649,100.0
-35800,ft,3732480000,3732480000,100.0,1271851649,1271851649,100.0
-35600,ft,3732480000,3732479999,99.99999997320816,1271851649,1271851649,100.0
-35400,ft,3732480000,3732479997,99.99999991962449,1271851649,1271851649,100.0
-35200,ft,3732480000,3732479886,99.99999694573046,1271851649,1271851649,100.0
-35000,ft,3732480000,3732479641,99.99999038173011,1271851649,1271851649,100.0
-34800,ft,3732480000,3732479453,99.99998534486454,1271851649,1271851649,100.0
-34600,ft,3732480000,3732479217,99.99997902199074,1271851649,1271851649,100.0
-34400,ft,3732480000,3732478738,99.99996618870027,1271851649,1271851649,100.0
-34200,ft,3732480000,3732478178,99.99995118527092,1271851649,1271851649,100.0
-34000,ft,3732480000,3732477496,99.99993291323732,1271851649,1271851649,100.0
-33800,ft,3732480000,3732476699,99.99991156014232,1271851649,1271851649,100.0
-33600,ft,3732480000,3732475898,99.99989009987998,1271851649,1271851649,100.0
-33400,ft,3732480000,3732475098,99.99986866640947,1271851649,1271851649,100.0
-33200,ft,3732480000,3732474003,99.99983932934671,1271851649,1271851649,100.0
-33000,ft,3732480000,3732472477,99.99979844500172,1271851649,1271851649,100.0
-32800,ft,3732480000,3732470426,99.9997434949417,1271851649,1271851649,100.0
-32600,ft,3732480000,3732467834,99.99967405049726,1271851649,1271851649,100.0
-32400,ft,3732480000,3732465199,99.99960345400378,1271851649,1271851649,100.0
-32200,ft,3732480000,3732462218,99.9995235875343,1271851649,1271851649,100.0
-32000,ft,3732480000,3732458379,99.99942073366769,1271851649,1271851649,100.0
-31800,ft,3732480000,3732452741,99.99926968128429,1271851649,1271851649,100.0
-31600,ft,3732480000,3732445677,99.99908042373971,1271851649,1271851649,100.0
-31400,ft,3732480000,3732437555,99.99886282043039,1271851649,1271851649,100.0
-31200,ft,3732480000,3732427148,99.99858399777092,1271851649,1271851649,100.0
-31000,ft,3732480000,3732415740,99.99827835648148,1271851649,1271851649,100.0
-30800,ft,3732480000,3732403174,99.99794169024348,1271851649,1271851649,100.0
-30600,ft,3732480000,3732388403,99.9975459480024,1271851649,1271851649,100.0
-30400,ft,3732480000,3732371672,99.99709769375858,1271851649,1271851649,100.0
-30200,ft,3732480000,3732348576,99.99647890946503,1271851649,1271851649,100.0
-30000,ft,3732480000,3732326128,99.99587748628258,1271851649,1271851649,100.0
-29800,ft,3732480000,3732304705,99.99530352473423,1271851649,1271851649,100.0
-29600,ft,3732480000,3732281803,99.99468993805726,1271851649,1271851649,100.0
-29400,ft,3732480000,3732257930,99.99405033650548,1271851649,1271851649,100.0
-29200,ft,3732480000,3732233796,99.99340374228395,1271851649,1271851649,100.0
-29000,ft,3732480000,3732209753,99.99275958611969,1271851649,1271851649,100.0
-28800,ft,3732480000,3732183689,99.99206128365054,1271851649,1271851649,100.0
-28600,ft,3732480000,3732157606,99.99136247213649,1271851649,1271851649,100.0
-28400,ft,3732480000,3732129292,99.99060388803154,1271851649,1271851649,100.0
-28200,ft,3732480000,3732100652,99.98983656978739,1271851649,1271851649,100.0
-28000,ft,3732480000,3732068925,99.98898654513889,1271851649,1271851649,100.0
-27800,ft,3732480000,3732036124,99.98810774605624,1271851649,1271851649,100.0
-27600,ft,3732480000,3732001129,99.98717016568072,1271851649,1271851649,100.0
-27400,ft,3732480000,3731956201,99.98596646197703,1271851649,1271851649,100.0
-27200,ft,3732480000,3731910747,99.98474866576646,1271851649,1271851649,100.0
-27000,ft,3732480000,3731866449,99.98356184092079,1271851649,1271851649,100.0
-26800,ft,3732480000,3731822683,99.98238926933298,1271851649,1271851649,100.0
-26600,ft,3732480000,3731775481,99.98112464098936,1271851649,1271851649,100.0
-26400,ft,3732480000,3731725711,99.97979121120542,1271851649,1271851649,100.0
-26200,ft,3732480000,3731670692,99.9783171510631,1271851649,1271851649,100.0
-26000,ft,3732480000,3731611734,99.97673755787036,1271851649,1271851649,100.0
-25800,ft,3732480000,3731546248,99.9749830675583,1271851649,1271851649,100.0
-25600,ft,3732480000,3731477403,99.97313858346193,1271851649,1271851649,100.0
-25400,ft,3732480000,3731403969,99.97117115162037,1271851649,1271851649,100.0
-25200,ft,3732480000,3731323813,99.96902362504287,1271851649,1271851649,100.0
-25000,ft,3732480000,3731239341,99.96676046489198,1271851649,1271851649,100.0
-24800,ft,3732480000,3731151247,99.96440026470336,1271851649,1271851649,100.0
-24600,ft,3732480000,3731056946,99.96187376757544,1271851649,1271851649,100.0
-24400,ft,3732480000,3730954560,99.95913065843621,1271851649,1271851649,100.0
-24200,ft,3732480000,3730844948,99.95619395147462,1271851649,1271851649,100.0
-24000,ft,3732480000,3730718591,99.95280861518347,1271851649,1271851649,100.0
-23800,ft,3732480000,3730483625,99.94651344414437,1271851649,1271851649,100.0
-23600,ft,3732480000,3730311700,99.94190725737312,1271851649,1271851649,100.0
-23400,ft,3732480000,3730153376,99.93766546639232,1271851649,1271851649,100.0
-23200,ft,3732480000,3729990533,99.93330260309499,1271851649,1271851649,100.0
-23000,ft,3732480000,3729818724,99.92869952417695,1271851649,1271851649,100.0
-22800,ft,3732480000,3729640888,99.92393497085048,1271851649,1271851649,100.0
-22600,ft,3732480000,3729455847,99.91897738233024,1271851649,1271851649,100.0
-22400,ft,3732480000,3729264298,99.91384543252744,1271851649,1271851649,100.0
-22200,ft,3732480000,3729051504,99.90814429012346,1271851649,1271851649,100.0
-22000,ft,3732480000,3728818435,99.9018999432013,1271851649,1271851649,100.0
-21800,ft,3732480000,3728569606,99.89523335691015,1271851649,1271851649,100.0
-21600,ft,3732480000,3728295157,99.887880363726,1271851649,1271851649,100.0
-21400,ft,3732480000,3727990637,99.8797217131773,1271851649,1271851649,100.0
-21200,ft,3732480000,3727639252,99.87030746313442,1271851649,1271851649,100.0
-21000,ft,3732480000,3727196761,99.8584523158865,1271851649,1271851649,100.0
-20800,ft,3732480000,3726637572,99.84347061471193,1271851649,1271851649,100.0
-20600,ft,3732480000,3725833065,99.82191639338991,1271851649,1271851649,100.0
-20400,ft,3732480000,3724571103,99.78810611175412,1271851649,1271851649,100.0
-20200,ft,3732480000,3722737799,99.7389885277349,1271851649,1271851649,100.0
-20000,ft,3732480000,3719976918,99.66501945087448,1271851649,1271851649,100.0
-19800,ft,3732480000,3715603828,99.54785633144719,1271851649,1271851649,100.0
-19600,ft,3732480000,3709387878,99.38131960519547,1271851649,1271851649,100.0
-19400,ft,3732480000,3701475833,99.16934137624314,1271851649,1271851649,100.0
-19200,ft,3732480000,3691472540,98.90133476937585,1271851649,1271851649,100.0
-19000,ft,3732480000,3679739992,98.58699824245542,1271851649,1271851649,100.0
-18800,ft,3732480000,3666303308,98.22700477966393,1271851649,1271851649,100.0
-18600,ft,3732480000,3649999665,97.79020021540637,1271851649,1271851649,100.0
-18400,ft,3732480000,3631452288,97.29328189300412,1271851649,1271851649,100.0
-18200,ft,3732480000,3610084957,96.72081181948731,1271851649,1271851649,100.0
-18000,ft,3732480000,3586490180,96.08866437328533,1271851649,1271851649,100.0
-17800,ft,3732480000,3559537202,95.36654454946844,1271851649,1271851649,100.0
-17600,ft,3732480000,3528713658,94.54072514789095,1271851649,1271851649,100.0
-17400,ft,3732480000,3495291665,93.64528852130486,1271851649,1271851649,100.0
-17200,ft,3732480000,3460564438,92.71488227666323,1271851649,1271851649,100.0
-17000,ft,3732480000,3422317194,91.69016830632717,1271851649,1271851649,100.0
-16800,ft,3732480000,3381933796,90.60822284379287,1271851649,1271851649,100.0
-16600,ft,3732480000,3341100235,89.51421668702847,1271851649,1271851649,100.0
-16400,ft,3732480000,3300168126,88.4175702481996,1271851649,1271851649,100.0
-16200,ft,3732480000,3258814804,87.3096387388546,1271851649,1271851649,100.0
-16000,ft,3732480000,3218088127,86.21849620091736,1271851649,1271851649,100.0
-15800,ft,3732480000,3177733736,85.13732788923183,1271851649,1271851649,100.0
-15600,ft,3732480000,3138231826,84.07899911051098,1271851649,1271851649,100.0
-15400,ft,3732480000,3098502582,83.01457963605966,1271851649,1271851649,100.0
-15200,ft,3732480000,3056649985,81.89327163173012,1271851649,1271851649,100.0
-15000,ft,3732480000,3015426836,80.78882769633059,1271851649,1271851649,100.0
-14800,ft,3732480000,2972748415,79.6453943490655,1271851649,1271851649,100.0
-14600,ft,3732480000,2928534798,78.46083027906379,1271851649,1271851649,100.0
-14400,ft,3732480000,2882489453,77.22719084897977,1271851649,1271851649,100.0
-14200,ft,3732480000,2827901048,75.76466713820302,1271851649,1271851649,100.0
-14000,ft,3732480000,2772322011,74.27560257523149,1271851649,1271851649,100.0
-13800,ft,3732480000,2717479647,72.80627483603395,1271851649,1271851649,100.0
-13600,ft,3732480000,2669083046,71.50964093578533,1271851649,1271851649,100.0
-13400,ft,3732480000,2625445333,70.34050639253257,1271851649,1271851649,100.0
-13200,ft,3732480000,2583220388,69.20922250085734,1271851649,1271851649,100.0
-13000,ft,3732480000,2540123697,68.05458293145576,1271851649,1271851649,100.0
-12800,ft,3732480000,2495955055,66.87122382437414,1271851649,1271851649,100.0
-12600,ft,3732480000,2453810699,65.74209906014232,1271851649,1271851649,100.0
-12400,ft,3732480000,2409117639,64.54468983088992,1271851649,1271851649,100.0
-12200,ft,3732480000,2369054954,63.471336859139235,1271851649,1271851649,100.0
-12000,ft,3732480000,2330676687,62.443112541795266,1271851649,1271851649,100.0
-11800,ft,3732480000,2292530034,61.42109358924897,1271851649,1271851649,100.0
-11600,ft,3732480000,2257308571,60.47744585369513,1271851649,1271851649,100.0
-11400,ft,3732480000,2224394352,59.595613425925926,1271851649,1271851649,100.0
-11200,ft,3732480000,2193243939,58.76103660300926,1271851649,1271851649,100.0
-11000,ft,3732480000,2162942796,57.94921328446502,1271851649,1271851649,100.0
-10800,ft,3732480000,2133919389,57.17162286201132,1271851649,1271851649,100.0
-10600,ft,3732480000,2105928069,56.421683947402265,1271851649,1271851649,100.0
-10400,ft,3732480000,2077928928,55.67153549382716,1271851649,1271851649,100.0
-10200,ft,3732480000,2054068246,55.03226396390603,1271851649,1271851649,100.0
-10000,ft,3732480000,2032221491,54.44694924018347,1271851649,1271851649,100.0
-9800,ft,3732480000,2010454630,53.86377502357682,1271851649,1271851649,100.0
-9600,ft,3732480000,1990558684,53.33072605881344,1271851649,1271851649,100.0
-9400,ft,3732480000,1971870416,52.83003300754458,1271851649,1271851649,100.0
-9200,ft,3732480000,1952524150,52.31171098036694,1271851649,1271851649,100.0
-9000,ft,3732480000,1933317392,51.79712662894376,1271851649,1271851649,100.0
-8800,ft,3732480000,1916325913,51.34189367391118,1271851649,1271851649,100.0
-8600,ft,3732480000,1900622679,50.92117517039609,1271851649,1271851649,100.0
-8400,ft,3732480000,1885670280,50.520572916666666,1271851649,1271851649,100.0
-8200,ft,3732480000,1872119916,50.15753375771605,1271851649,1271851649,100.0
-8000,ft,3732480000,1859020478,49.80657573516804,1271851649,1271851649,100.0
-7800,ft,3732480000,1846084107,49.459986577289094,1271851649,1271851649,100.0
-7600,ft,3732480000,1834492897,49.1494367551869,1271851649,1271851649,100.0
-7400,ft,3732480000,1823384578,48.85182447059328,1271851649,1271851649,100.0
-7200,ft,3732480000,1811958042,48.54568656764403,1271851649,1271851649,100.0
-7000,ft,3732480000,1801051397,48.25347750021434,1271851649,1271851649,100.0
-6800,ft,3732480000,1790684983,47.97574221429184,1271851649,1271851649,100.0
-6600,ft,3732480000,1780467163,47.70198803476509,1271851649,1271851649,100.0
-6400,ft,3732480000,1770403388,47.43236100394376,1271851649,1271851649,100.0
