,xmin,ymin,xmax,ymax,numgranules,is_downloaded,geometry
75,-105,-89,-104,-88,0,False,"POLYGON ((-104 -89, -104 -88, -105 -88, -105 -89, -104 -89))"
76,-104,-89,-103,-88,0,False,"POLYGON ((-103 -89, -103 -88, -104 -88, -104 -89, -103 -89))"
77,-103,-89,-102,-88,0,False,"POLYGON ((-102 -89, -102 -88, -103 -88, -103 -89, -102 -89))"
78,-102,-89,-101,-88,0,False,"POLYGON ((-101 -89, -101 -88, -102 -88, -102 -89, -101 -89))"
79,-101,-89,-100,-88,0,False,"POLYGON ((-100 -89, -100 -88, -101 -88, -101 -89, -100 -89))"
80,-100,-89,-99,-88,0,False,"POLYGON ((-99 -89, -99 -88, -100 -88, -100 -89, -99 -89))"
81,-99,-89,-98,-88,0,False,"POLYGON ((-98 -89, -98 -88, -99 -88, -99 -89, -98 -89))"
82,-98,-89,-97,-88,0,False,"POLYGON ((-97 -89, -97 -88, -98 -88, -98 -89, -97 -89))"
83,-97,-89,-96,-88,0,False,"POLYGON ((-96 -89, -96 -88, -97 -88, -97 -89, -96 -89))"
84,-96,-89,-95,-88,0,False,"POLYGON ((-95 -89, -95 -88, -96 -88, -96 -89, -95 -89))"
85,-95,-89,-94,-88,0,False,"POLYGON ((-94 -89, -94 -88, -95 -88, -95 -89, -94 -89))"
86,-94,-89,-93,-88,0,False,"POLYGON ((-93 -89, -93 -88, -94 -88, -94 -89, -93 -89))"
87,-93,-89,-92,-88,0,False,"POLYGON ((-92 -89, -92 -88, -93 -88, -93 -89, -92 -89))"
88,-92,-89,-91,-88,0,False,"POLYGON ((-91 -89, -91 -88, -92 -88, -92 -89, -91 -89))"
89,-91,-89,-90,-88,0,False,"POLYGON ((-90 -89, -90 -88, -91 -88, -91 -89, -90 -89))"
90,-90,-89,-89,-88,0,False,"POLYGON ((-89 -89, -89 -88, -90 -88, -90 -89, -89 -89))"
91,-89,-89,-88,-88,0,False,"POLYGON ((-88 -89, -88 -88, -89 -88, -89 -89, -88 -89))"
92,-88,-89,-87,-88,0,False,"POLYGON ((-87 -89, -87 -88, -88 -88, -88 -89, -87 -89))"
